iter	RMSE
359	2.643040913
360	2.639133589
361	2.633387546
362	2.629625332
363	2.62587415
364	2.623648533
365	2.619009987
366	2.616403853
367	2.615796657
368	2.613683317
369	2.61126478
370	2.605666667
371	2.602530893
372	2.600458569
373	2.596377924
374	2.592783069
375	2.590919313
376	2.588128335
377	2.585882997
378	2.585030973
379	2.583099555
380	2.57960625
381	2.575182118
382	2.571744987
383	2.56925755
384	2.567093445
385	2.563886909
386	2.559818049
387	2.557738761
388	2.55376416
389	2.551036922
390	2.549927257
391	2.549429346
392	2.546795926
393	2.545226713
394	2.542323491
395	2.540339125
396	2.534205371
397	2.5304616
398	2.526916358
399	2.526024172
400	2.523813922
401	2.523323426
402	2.523289961
403	2.520274489
404	2.519523062
405	2.517541896
406	2.515665684
407	2.511782713
408	2.509439398
409	2.50770297
410	2.50473068
411	2.502803521
412	2.50018468
413	2.498349043
414	2.49627928
415	2.493957617
416	2.491770963
417	2.490364663
418	2.489603647
419	2.488903879
420	2.48535438
421	2.483096852
422	2.481517965
423	2.480802721
424	2.478946518
425	2.475698943
426	2.475096247
427	2.47366914
428	2.471008591
429	2.468141036
430	2.465955154
431	2.4644555
432	2.463576258
433	2.462815059
434	2.462189624
435	2.460350203
436	2.459664345
437	2.456185612
438	2.45547148
439	2.454491452
440	2.452786377
441	2.449266213
442	2.446042741
443	2.445097554
444	2.442490164
445	2.441270242
446	2.435519406
447	2.433461138
448	2.432525468
449	2.429279277
450	2.427356733
451	2.425112962
452	2.422738861
453	2.418937467
454	2.415892422
455	2.413204044
456	2.408494598
457	2.406647374
458	2.405252267
459	2.403746608
460	2.402222149
461	2.398858921
462	2.393543013
463	2.38979362
464	2.387134077
465	2.386198563
466	2.383777989
467	2.380679734
468	2.380056071
469	2.378463048
470	2.375806798
471	2.374750933
472	2.372145791
473	2.370400386
474	2.369004473
475	2.367334901
476	2.364700577
477	2.362694365
478	2.359670723
479	2.355380274
480	2.352768167
481	2.35110099
482	2.34950407
483	2.348505763
484	2.345340289
485	2.341610257
486	2.33823302
487	2.335430742
488	2.333797407
489	2.331391926
490	2.330199107
491	2.327866204
492	2.325440034
493	2.325417139
494	2.323853874
495	2.321675707
496	2.321326986
497	2.3200907
498	2.318571583
499	2.317083867
500	2.313943562
501	2.313496105
502	2.312086665
503	2.311168838
504	2.308911344
505	2.306969903
506	2.306391837
507	2.304437458
508	2.303385906
509	2.301579369
510	2.298603599
511	2.297311733
512	2.294753218
513	2.292750702
514	2.290473966
515	2.289181232
516	2.287482738
517	2.285729235
518	2.2832027
519	2.280438946
520	2.277508638
521	2.275779518
522	2.2735486
523	2.272169296
524	2.269776335
525	2.267174195
526	2.26519806
527	2.26431441
528	2.26204184
529	2.260041058
530	2.258026278
531	2.256652765
532	2.255553213
533	2.253703985
534	2.251588636
535	2.249437205
536	2.248104486
537	2.246214978
538	2.243394018
539	2.241723427
540	2.23746186
541	2.23400381
542	2.231824584
543	2.230801014
544	2.22952678
545	2.228281785
546	2.22661919
547	2.224676987
548	2.222725072
549	2.221119447
550	2.219714494
551	2.218062327
552	2.21614076
553	2.214529828
554	2.21238511
555	2.20740414
556	2.204240302
557	2.20301199
558	2.20223346
559	2.201015436
560	2.198612793
561	2.1973066
562	2.195670221
563	2.193931423
564	2.192382219
565	2.191041727
566	2.190226292
567	2.188450098
568	2.187496246
569	2.18581051
570	2.1834937
571	2.182210827
572	2.181212703
573	2.179692972
574	2.178884816
575	2.177098933
576	2.176190745
577	2.174597817
578	2.173228295
579	2.171815792
580	2.170726475
581	2.168636581
582	2.167544009
583	2.166783002
584	2.165095099
585	2.164143589
586	2.162064802
587	2.160276304
588	2.15790505
589	2.156508861
590	2.155360417
591	2.153938449
592	2.151460289
593	2.150807116
594	2.148419465
595	2.147404672
596	2.145744929
597	2.144720579
598	2.14436638
599	2.141861215
600	2.140629162
601	2.139122398
602	2.137557816
603	2.13338553
604	2.129421034
605	2.12865506
606	2.1268925
607	2.125660028
608	2.124722384
609	2.120970257
610	2.119808837
611	2.118996461
612	2.117869792
613	2.116745218
614	2.115306935
615	2.114525687
616	2.111834872
617	2.109670349
618	2.108680522
619	2.10559199
620	2.10348635
621	2.101209151
622	2.098932568
623	2.096985983
624	2.092904523
625	2.092168009
626	2.090932808
627	2.089383553
628	2.087517008
629	2.086846341
630	2.086052505
631	2.085403447
632	2.084266058
633	2.080458578
634	2.078457097
635	2.076990014
636	2.075981032
637	2.075364903
638	2.074901151
639	2.074336016
640	2.072246312
641	2.070102613
642	2.068813663
643	2.067010656
644	2.064940228
645	2.063960593
646	2.062492705
647	2.061594929
648	2.060396795
649	2.060381366
650	2.058732841
651	2.058717946
652	2.057215145
653	2.055597161
654	2.053203546
655	2.0520218
656	2.051154787
657	2.049479141
658	2.047180471
659	2.045893395
660	2.04515294
661	2.043265784
662	2.04252665
663	2.042033331
664	2.041398236
665	2.03805024
666	2.037492299
667	2.036567434
668	2.033853604
669	2.033369214
670	2.032304678
671	2.03188196
672	2.030156379
673	2.029096835
674	2.026725551
675	2.02546014
676	2.024124654
677	2.023408775
678	2.022770713
679	2.021200632
680	2.020337423
681	2.019114041
682	2.017134071
683	2.016570725
684	2.015105742
685	2.014242732
686	2.013221301
687	2.012151353
688	2.008203056
689	2.007469078
690	2.006534309
691	2.004928834
692	2.00397346
693	2.001695846
694	2.00002804
695	1.99969899
696	1.998714875
697	1.997228793
698	1.995854728
699	1.99468487
700	1.993144213
701	1.992358382
702	1.991117495
703	1.990458233
704	1.989803668
705	1.988377374
706	1.987047429
707	1.986301084
708	1.985480232
709	1.984779044
710	1.984045939
711	1.982965993
712	1.982722471
713	1.981738637
714	1.978675298
715	1.977792232
716	1.975800496
717	1.973329867
718	1.97104286
719	1.969465637
720	1.967289657
721	1.965238545
722	1.963361485
723	1.961287254
724	1.957703149
725	1.956958906
726	1.955992371
727	1.953518435
728	1.953136933
729	1.951267964
730	1.949940331
731	1.949513074
732	1.948225413
733	1.946737824
734	1.945204397
735	1.944204536
736	1.94114434
737	1.940108658
738	1.938032597
739	1.93691619
740	1.935598651
741	1.934386053
742	1.933826602
743	1.933089538
744	1.932278088
745	1.930600222
746	1.928292648
747	1.927780593
748	1.926266207
749	1.925405806
750	1.924497402
751	1.923003088
752	1.92210391
753	1.921048973
754	1.919756548
755	1.918745515
756	1.917796754
757	1.916969044
758	1.9161907
759	1.915030989
760	1.914290729
761	1.91159888
762	1.910758948
763	1.907879783
764	1.906934798
765	1.904909121
766	1.903091601
767	1.90145479
768	1.899828889
769	1.898425256
770	1.89747733
771	1.897005076
772	1.896995609
773	1.895507528
774	1.894828858
775	1.893656656
776	1.892132368
777	1.890688571
778	1.890074643
779	1.890067026
780	1.889262422
781	1.888489636
782	1.887568186
783	1.885886226
784	1.884588178
785	1.883378107
786	1.882437361
787	1.881664882
788	1.880392852
789	1.878943684
790	1.878096258
791	1.875971383
792	1.875556047
793	1.873411975
794	1.873398497
795	1.872909789
796	1.871143125
797	1.870447615
798	1.86910682
799	1.868443775
800	1.86689879
801	1.865390084
802	1.863904442
803	1.862243522
804	1.861469061
805	1.86033527
806	1.859665506
807	1.858853023
808	1.85819035
809	1.856740363
810	1.855982495
811	1.85491456
812	1.854459306
813	1.854087265
814	1.853428137
815	1.852768436
816	1.85196352
817	1.850385074
818	1.84988743
819	1.849131364
820	1.847524343
821	1.845944916
822	1.845255682
823	1.844819004
824	1.843517637
825	1.842071062
826	1.8413554
827	1.839141923
828	1.838555463
829	1.83762376
830	1.836399801
831	1.835253506
832	1.834072561
833	1.833559984
834	1.831668375
835	1.830782617
836	1.830092526
837	1.829410307
838	1.828750013
839	1.828204573
840	1.827308216
841	1.826641515
842	1.823285169
843	1.822609259
844	1.821819217
845	1.82009992
846	1.819293192
847	1.819015439
848	1.817610875
849	1.816968856
850	1.815592463
851	1.81418432
852	1.813396335
853	1.812277505
854	1.810774509
855	1.810192659
856	1.808688136
857	1.805546354
858	1.805039637
859	1.804623809
860	1.803858256
861	1.802729045
862	1.801353461
863	1.801346393
864	1.800878243
865	1.799956679
866	1.798139919
867	1.79682788
868	1.795890249
869	1.795404178
870	1.793813489
871	1.793692616
872	1.792306389
873	1.7910841
874	1.789562516
875	1.787626284
876	1.786924063
877	1.786349886
878	1.786241607
879	1.785749091
880	1.785217335
881	1.785210812
882	1.784585585
883	1.783476612
884	1.783471442
885	1.782245208
886	1.780836637
887	1.779547027
888	1.777841005
889	1.777074946
890	1.775423057
891	1.774484113
892	1.773467977
893	1.77255945
894	1.771685499
895	1.770683355
896	1.769466812
897	1.768924824
898	1.768213931
899	1.767746217
900	1.766326872
901	1.765588895
902	1.763794373
903	1.762490872
904	1.761090991
905	1.760857111
906	1.75963077
907	1.759622651
908	1.759054706
909	1.757891637
910	1.75572325
911	1.752855899
912	1.751750641
913	1.751043715
914	1.750548587
915	1.749346798
916	1.748881781
917	1.748435473
918	1.748004955
919	1.746902297
920	1.746200416
921	1.745574764
922	1.745264149
923	1.744877204
924	1.744042207
925	1.743454581
926	1.74246261
927	1.741635579
928	1.741630017
929	1.741188084
930	1.740623488
931	1.740300611
932	1.739207533
933	1.738543552
934	1.737053708
935	1.735701982
936	1.735267528
937	1.734267138
938	1.732814493
939	1.73187885
940	1.731487193
941	1.730021672
942	1.728816592
943	1.72764273
944	1.726837797
945	1.72570907
946	1.725322955
947	1.724031154
948	1.722937836
949	1.722048567
950	1.720633208
951	1.719356806
952	1.718760766
953	1.718093665
954	1.715977245
955	1.715474943
956	1.714914237
957	1.714034519
958	1.71302638
959	1.711690991
960	1.710706131
961	1.709678295
962	1.708637595
963	1.707830249
964	1.706950686
965	1.706552882
966	1.705821817
967	1.704815561
968	1.704047067
969	1.704041864
970	1.703176038
971	1.702111851
972	1.701305382
973	1.700630723
974	1.700626457
975	1.699973555
976	1.69948045
977	1.698749228
978	1.697948994
979	1.69757547
980	1.6968641
981	1.696779366
982	1.696254825
983	1.695076368
984	1.694232126
985	1.690782476
986	1.690439525
987	1.687486811
988	1.687183109
989	1.686065285
990	1.685709278
991	1.683827481
992	1.683362616
993	1.682919373
994	1.682205815
995	1.682127176
996	1.681752073
997	1.68133803
998	1.681039053
999	1.680614858
